idImpianto,Gestore,Bandiera,Tipo Impianto,Nome Impianto,Indirizzo,Comune,Provincia,Latitudine,Longitudine,,,
17720,A.NUARA E FIGLI SRL,Pompe Bianche,Altro, XXV APRILE  AGRIGENTO,VIA XXV APRILE  92100,AGRIGENTO,AG,37.31492626453715,13.571385517716408,,,
23780,ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL,Esso,Altro,A. Di Benedetto srl P.zza Ravanusella Ag,PIAZZALE RAVANUSELLA SNC 92100,AGRIGENTO,AG,37.310530770308084,13.580069240436615,,,
23778,ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL,Esso,Altro,A. Di Benedetto srl Via Imera Ag,VIA IMERA 10 92100,AGRIGENTO,AG,37.312390927445705,13.58591309570079,,,
20438,SERVIZI & GESTIONI ITALIA S.R.L.,Q8,Altro,AGRIGENTO EX S.S.115 KM 191+222 VIL.MOSE,EX S.S.115 KM 191+222 VIL.MOSE  92100,AGRIGENTO,AG,37.27431987367583,13.614236337434363,,,
25614,SERVIZI & GESTIONI ITALIA S.R.L.,Q8,Altro,AGRIGENTO VIA FOSSE ARDEATINE LOC.VILLASETA,VIA FOSSE ARDEATINE LOC.VILLASETA  92100,AGRIGENTO,AG,37.29582883251122,13.547611503041026,,,
9254,DISTEFANO CARBURANTI DI DISTEFANO FABIO E C. S.A.S.,Q8,Strada Statale,BAR DELLA VALLE,Statale 640 di Porto Empedocle. Km. 10. dir. AG CL 92100,AGRIGENTO,AG,37.31145034380066,13.608648777008057,,,
21524,NOBILE OIL GROUP S.P.A.,Agip Eni,Altro,ENI ,VIA LEONARDO SCIASCIA SN 92100,AGRIGENTO,AG,37.271179903909264,13.626721501350403,,,
27962,NOBILE OIL GROUP S.P.A.,Agip Eni,Altro,eni,VIA IMERA SN 92100,AGRIGENTO,AG,37.31670576105686,13.580794036388397,,,
24949,ERRIU ENRICO,Agip Eni,Altro,ERRIU ENRICO,VIA FRANCESCO CRISPI 12 92100,AGRIGENTO,AG,37.308234929449384,13.586577368122903,,,
14565,PETROLCOKE ENERGY S.R.L.,Esso,Altro,esso,VIA GIOENI 292 92100,AGRIGENTO,AG,37.314871815789736,13.581396440028584,,,
21198,IL MOLO S.R.L.,Pompe Bianche,Altro,il molo srl,LUNGOMARE FALCONE BORSELLINO 2. 92100,AGRIGENTO,AG,37.2631384,13.5790455,,,
12774,DI BENEDETTO CARBURANTI S.R.L.,Api-Ip,Altro,IP VILLASETA,VILLASETA S.S.115 KM 186.225,AGRIGENTO,AG,37.29331979071349,13.569776862859726,,,
21556,M P PETROLI DI MARIA PULLARA,Giap,Altro,mp petroli di maria pullara,VIA PETRARCA 22 92100,AGRIGENTO,AG,37.303773233118946,13.586265917256014,,,
4635,A.NUARA E FIGLI SRL,Lukoil,Strada Statale,Nuara - V.le Leonardo Sciascia - Vill. Mosè,Statale 115 dir Sud Occidentale Sicula. Km. 190+700. dir. Siracusa 92100,AGRIGENTO,AG,37.27701951470328,13.610502183437347,,,
8265,A.NUARA E FIGLI SRL,Pompe Bianche,Strada Statale,Nuara Via Leonardo Sciascia Km 191 + 450,Statale 115 dir Sud Occidentale Sicula. Km. 191 +450. dir. Agrigento 92100,AGRIGENTO,AG,37.271196979454935,13.620863556861877,,,
28277,SERVIZI & GESTIONI ITALIA S.R.L.,Q8,Altro,QUADRIVIO SPINANSANTA - AGRIGENTO,QUADRIVIO SPINANSANTA  92100,AGRIGENTO,AG,37.31919829622775,13.581069525760313,,,
29471,ERRIU GABRIELE,Agip Eni,Altro,SELF AREA ENI DI GABRIELE ERRIU,VIA UNITA' D'ITALIA 90 92100,AGRIGENTO,AG,37.333972710344824,13.595531433820724,,,
25473,PETROLCOKE ENERGY S.R.L.,Pompe Bianche,Altro,sp energia siciliana,c/da averna. giardina gallotti sn 92100,AGRIGENTO,AG,37.3526847016027,13.51844072341919,,,
17803,A.NUARA E FIGLI SRL,Pompe Bianche,Altro,VIA PETRARCA ,VIA PETRARCA  92100,AGRIGENTO,AG,37.30192581036641,13.588533825576178,,,
17810,A.NUARA E FIGLI SRL,Pompe Bianche,Altro,VIA PETRARCA SN,VIA PETRARCA SN 92100,AGRIGENTO,AG,37.2981646764832,13.58978882431984,,,
17801,A.NUARA E FIGLI SRL,Pompe Bianche,Altro,VIALE SICILIA CONTRADA FONTANELLE,CONTRADA FONTANELLE  92100,AGRIGENTO,AG,37.32621304542855,13.591846078634262,,,
20497,CIARAVELLA GIUSEPPE VALERIO,Q8,Strada Statale,Q8,Statale 118 Corleonese Agrigentina. Km. 93+63. dir. nord,ALESSANDRIA DELLA ROCCA,AG,37.56170013881221,13.451516926288605,,,
28848,MELI ALFONSO,Q8,Altro,Q8,VIA ROMA  196 92021,ARAGONA,AG,37.40059799035912,13.61762747168541,,,
11161,RIZZO GIOVANNI,Q8,Altro,stazione di servizio rizzo giovanni,VIA S.LA ROSA 135 92021,ARAGONA,AG,37.395494269083635,13.621182051589926,,,
32468,CAFE' VALI' DI CARBONE R. E MANISCALCO R. E C. S.N.C.,Esso,Altro,Esso Cafe Vali,via FEDERICO II DI SVEVIA snc 92010,BIVONA,AG,37.614666580463016,13.435519561171531,,,
16211,FALCO CARBURANTI S.A.S. DI GIUSEPPA  FALCO & C.,Agip Eni,Altro,FALCO CARBURANTI SAS,VIA TRIOCOLA 2 92010,CALTABELLOTTA,AG,37.575594747823374,13.220453972167661,,,
30714,INCARDONA CARBURANTI DI BORDINO CROCIFISSA & C. S.A.S.,Tamoil,Strada Statale,INCARDONA CARBURANTI,Statale 410 di Naro. Km. 16+705. dir. naro 92020,CAMASTRA,AG,37.26309356572423,13.79327143637488,,,
26491,URSO GIOVANNI BATTISTA,Q8,Altro,Q8,CORSO VITTORIO VENETO 297 92020,CAMASTRA,AG,37.25732352978499,13.791059106588364,,,
7842,ELIOGEST DI TRAINA MARCELLO E GIAMBRONE AUSILIA & C. SOCIETA' IN IN ACCOMANDITA SEMPLICE.,Agip Eni,Strada Statale,ENI STATION CAMMARATA,Statale 189 della Valle del Platani. Km. 18+760. dir. AGRIGENTO-PALERMO 92022,CAMMARATA,AG,37.66139284028912,13.668215274810791,,,
28169,SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.,Giap,Altro,VIA SAN FRANCESCO CAMMARATA,VIA SAN FRANCESCO  92022,CAMMARATA,AG,37.631579713679294,13.638728119179177,,,
14853,CIOTTA MICHELE,Esso,Altro,ciotta michele,PIAZZA MARCONI  92023,CAMPOBELLO DI LICATA,AG,37.26096034896939,13.918012753129005,,,
20349,PATTI GIOVANNI,Q8,Altro,Distributore Q8 Patti Giovanni,VIA EDISON SNC 92023,CAMPOBELLO DI LICATA,AG,37.26530654024615,13.91839899122715,,,
15020,MEGA SERVICE S.A.S. DI TERMINI MICHELE &C .,Q8,Strada Statale,mega service sas,Statale 123 di Licata. Km. 15+500. dir. Campobello di Licata 92023,CAMPOBELLO DI LICATA,AG,37.2501591057899,13.91422614455223,,,
23777,ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL,Agip Eni,Altro,A. Di Benedetto srl V.le C. Alberto Canicatti,VIALE CARLO ALBERTO SNC 92024,CANICATTI',AG,37.36246631312339,13.8555327218387,,,
9408,DI BENEDETTO FABIO,Q8,Altro,Di Benedetto Fabio,CONTRADA MADONNA AIUTO SS 122 KM 35.9 92024,CANICATTI',AG,37.380115518448335,13.846850395202637,,,
20538,F.LLI BARBIERI S.N.C. DI BARBIERI ANTONIO. CROCE E MARIA RITA,Pompe Bianche,Altro,F.LLI BARBIERI snc,VIALE GIUDICE ANTONINO SAETTA SN. 92024,CANICATTI',AG,37.35224334922593,13.832277953624725,,,
31425,PETROLSERVICES S.A.S. DI RICCARDO DI BENEDETTO & C.,Giap,Altro,GIAP,via Vittorio Emanuele 156 92024,CANICATTI',AG,37.36153253815698,13.85412821798866,,,
34101,GRM DI MARCHESE RAGONA GIUSEPPE S.A.S.,Pompe Bianche,Strada Statale,GRM SAS,Statale 122 Agrigentina. Km. 27+030. dir. AGRIGENTO 92024,CANICATTI',AG,37.36224200841267,13.788746371865273,,,
29965,DI BENEDETTO CARBURANTI S.R.L.,Pompe Bianche,Altro,I.D.C. Canicatti' . Viale Giudice Saetta ,Viale Giudice Saetta   92024,CANICATTI',AG,37.352213526915726,13.832169380904588,,,
21135,CATANIA PETROLI SRL,Q8,Altro,Q8,VIALE DELLA VITTORIA BIVIO PER NARO . 92024  92020,CANICATTI',AG,37.353495333263986,13.845332264900208,,,
13093,DI BENEDETTO RICCARDO,Esso,Altro,Riccardo Di Benedetto,VIA CALVI (ANGOLO VIA CAP. MAIRA). 92024,CANICATTI',AG,37.35378188797039,13.84777843952179,,,
16277,SUD - PETROLI S.A.S. DI CAICO GIACINTO,Esso,Altro,SUD PETROLI,VIALE DELLA VITTORIA SN.. 92024,CANICATTI',AG,37.35217013095468,13.840876041670981,,,
13960,FANTAUZZO ELVIRA GIUSEPPA,Q8,Altro,Distributore carburanti Q8,via  Trento. 92025,CASTELTERMINI,AG,37.54201293991072,13.646484017372131,,,
30771,SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.,Giap,Altro,S.P. 20 KM 19+780 CASTELTERMINI,S.P. 20 KM 19+780  92025,CASTELTERMINI,AG,37.54271305995729,13.652730882167816,,,
33092,VOLPE SANTO,Agip Eni,Altro,Volpe Santo  ENI,VIA NAZIONALE  92020,CASTROFILIPPO,AG,37.349478335003155,13.759579360485077,,,
18512,MICELI MICHELINA,Pompe Bianche,Altro,Pompa Bianca,VIA ORETO SN. 92011  92011,CATTOLICA ERACLEA,AG,37.44098464597239,13.390876672688591,,,
22153,AGOZZINO PASQUALE,SP Energia Siciliana,Altro,SP ENERGIA SICILIANA,VIA ENNA  92011,CATTOLICA ERACLEA,AG,37.44087786981091,13.391040489077568,,,
9498,DP FUEL DI D'ANNA FRANCESCO & C. SNC,Q8,Altro,DP FUEL DI D'ANNA FRANCESCO & C. SNC,STRADA STATALE 118 CORSO NAZIONALE 1 92012,CIANCIANA,AG,37.51986048686688,13.436181396245956,,,
23772,DBS SERVIZI PETROLIFERI S.R.L.,Esso,Altro,DBS Serv.Petr. srl COMITINI, SS 189 KM 47+690 SN 92020,COMITINI,AG,37.445185640773154,13.65965550805663,,,
25077,A.NUARA E FIGLI SRL,Pompe Bianche,Strada Statale,CONTRADA BURRAITI SS 115 KM 197+435,Statale 115 Sud Occidentale Sicula. Km. KM 197+435. dir. FAVARA 92026,FAVARA,AG,37.247453962516225,13.667558133602142,,,
21532,CASTRONOVO FILIPPO,Agip Eni,Altro,ENI,VIA CAP. CALLEA SNC 92026,FAVARA,AG,37.32455050835047,13.662984558860785,,,
4112,DI NOLFO MARIA CARBURANTI S.A.S.,Agip Eni,Altro,Eni 55029 - Di Nolfo Maria Carburanti Sas,VIA NENNI S.S 122 KM.11+870 S.N. 92026,FAVARA,AG,37.321189939736215,13.665801286697388,,,
14269,SERVIZI & GESTIONI ITALIA S.R.L.,Q8,Altro,FAVARA CORSO VITTORIO VENETO,CORSO VITTORIO VENETO  92026,FAVARA,AG,37.308283573197194,13.658229843586014,,,
8015,FLOAN S.R.L.,Q8,Altro,FLOAN S.R.L.,C.da San Benedetto S.P. 15  92026,FAVARA,AG,37.35069028016745,13.61182987689972,,,
33037,LIMBLICI ANTONIO,Q8,Altro,Limblici Antonio,VIA ALDO MORO 97 92026,FAVARA,AG,37.306426398958635,13.648471041525227,,,
33022,MENDOLIA ANTONIO,Pompe Bianche,Altro,mendolia antonio,SP85 sn 92026,FAVARA,AG,37.34720422200081,13.676785860118798,,,
4631,A.NUARA E FIGLI SRL,Pompe Bianche,Strada Statale,Nuara - San Benedetto. Agrigento,Statale 189 della Valle del Platani. Km. 61+400. dir. Palermo 92026,FAVARA,AG,37.34813843492682,13.616244792938232,,,
13225,SCARIANO BENEDETTA,SP Energia Siciliana,Altro,SP ENERGIA SICILIANA,VIA FRANCESCO CRISPI 101 92026,FAVARA,AG,37.3202812247021,13.663748660226247,,,
